Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Jackson, Jaren",4,0,3500,mem,mil,home, 119-106,NA,0,0,0,0,0,0,0,0,0,0,0
"Valanciunas, Jonas",5,66.8,7000,mem,mil,home, 119-106,32:32,26,19,12,0,1,3,2,11,17,2,2
"Bryant, Thomas",5,55.8,7300,was,bos,away, 96-90,32:51,26,9,2,4,2,2,2,10,15,4,6
"Marjanovic, Boban",5,43.5,4100,dal,pho,away, 102-128,29:23,18,20,3,0,0,3,0,9,14,0,1
"Allen, Jarrett",5,41.2,7200,bkn,por,home, 133-134,37:22,14,11,4,0,3,1,0,5,8,4,9
"Nurkic, Jusuf",5,40.5,8500,por,bkn,away, 134-133,32:45,22,10,3,1,0,1,0,11,17,0,1
"Vucevic, Nikola",5,37.7,7900,orl,nor,home, 133-127,25:55,23,6,3,1,0,0,3,10,11,0,0
"Whiteside, Hassan",5,36.3,4400,por,bkn,away, 134-133,15:15,16,9,1,1,2,1,0,5,6,6,6
"Ayton, Deandre",5,35.3,7300,pho,dal,home, 128-102,26:11,11,9,3,2,1,0,0,5,10,1,2
"Lopez, Brook",5,34.3,5800,mil,mem,away, 106-119,19:48,19,9,1,0,1,0,2,6,14,5,5
"Eubanks, Drew",5,31.9,4200,sas,uta,away, 112-118,27:14,8,7,3,0,4,1,0,1,6,6,8
"Poeltl, Jakob",5,28.5,5200,sas,uta,away, 112-118,21:08,10,5,3,1,2,1,0,5,6,0,5
"Metu, Chimezie",5,27.2,3500,sas,uta,away, 112-118,26:40,10,6,4,1,1,2,0,3,6,4,5
"Bradley, Tony",5,21.5,3900,uta,sas,home, 118-112,21:41,6,10,1,0,1,1,0,3,7,0,0
"Poirier, Vincent",5,21.3,3500,bos,was,home, 90-96,16:21,2,9,1,0,3,2,0,1,3,0,0
"Wagner, Moritz",5,20.1,3500,was,bos,away, 96-90,19:03,7,8,1,1,0,1,1,2,7,2,2
"Hayes, Jaxson",5,19.8,3500,nor,orl,away, 127-133,30:58,13,4,0,0,1,1,0,5,7,3,4
"Kanter, Enes",5,19.5,3700,bos,was,home, 90-96,18:06,8,5,3,0,1,2,0,4,6,0,0
"Fall, Tacko",5,19.3,3500,bos,was,home, 90-96,8:24,4,4,1,1,2,0,0,2,2,0,0
"McGee, JaVale",5,19.3,3600,lal,sac,home, 122-136,20:55,8,9,1,0,0,1,0,4,6,0,0
"Okafor, Jahlil",5,14.8,4000,nor,orl,away, 127-133,17:02,8,4,0,0,1,1,0,4,7,0,0
"Lopez, Robin",5,12.8,4200,mil,mem,away, 106-119,21:01,5,4,0,0,1,0,0,2,9,1,2
"Dieng, Gorgui",5,12.3,4100,mem,mil,home, 119-106,15:28,7,4,1,0,0,1,1,1,6,4,4
"Howard, Dwight",5,11,4200,lal,sac,home, 122-136,12:26,6,5,0,0,0,1,0,1,3,4,6
"Len, Alex",5,9.6,3900,sac,lal,away, 136-122,14:18,3,3,0,0,1,0,0,1,2,1,2
"Williams, Robert",5,8.7,3800,bos,was,home, 90-96,5:58,6,1,1,0,0,0,0,3,3,0,0
"Mahinmi, Ian",5,0,3600,was,bos,away, 96-90,DNP,0,0,0,0,0,0,0,0,0,0,0
"Pasecniks, Anzejs",5,0,3500,was,bos,away, 96-90,DNP,0,0,0,0,0,0,0,0,0,0,0
"Bamba, Mohamed",5,0,3500,orl,nor,home, 133-127,DNP,0,0,0,0,0,0,0,0,0,0,0
"Baynes, Aron",5,0,3700,pho,dal,home, 128-102,DNP,0,0,0,0,0,0,0,0,0,0,0
"Favors, Derrick",5,0,5400,nor,orl,away, 127-133,DNP,0,0,0,0,0,0,0,0,0,0,0
"Powell, Dwight",5,0,3500,dal,pho,away, 102-128,NA,0,0,0,0,0,0,0,0,0,0,0
"Zeller, Tyler",5,0,3500,sas,uta,away, 112-118,NA,0,0,0,0,0,0,0,0,0,0,0
"Gobert, Rudy",5,0,7300,uta,sas,home, 118-112,NA,0,0,0,0,0,0,0,0,0,0,0
