Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Maten, Yante",4,0,3500,mia,ind,away, 91-99,NA,0,0,0,0,0,0,0,0,0,0,0
"Powell, Norman",3,0,3500,tor,bos,away, 116-123,NA,0,0,0,0,0,0,0,0,0,0,0
"Henson, John",4,0,3500,mil,chi,home, 123-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Pinson, Theo",3,0,3500,bkn,was,away, 115-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Hicks, Isaiah",4,0,3500,nyk,nor,away, 124-129,NA,0,0,0,0,0,0,0,0,0,0,0
"Anigbogu, Ike",4,0,3500,ind,mia,home, 99-91,NA,0,0,0,0,0,0,0,0,0,0,0
"Cavanaugh, Tyler",4,0,3500,uta,phi,away, 107-113,NA,0,0,0,0,0,0,0,0,0,0,0
"Green, JaMychal",4,0,5000,mem,sac,home, 112-104,NA,0,0,0,0,0,0,0,0,0,0,0
"Johnson, Alize",4,0,3500,ind,mia,home, 99-91,NA,0,0,0,0,0,0,0,0,0,0,0
"Howard, Dwight",5,50.9,7000,was,bkn,home, 104-115,27:20,25,17,1,1,1,2,0,9,13,7,10
"Embiid, Joel",5,48.4,10900,phi,uta,home, 113-107,26:14,23,7,2,2,3,1,1,7,20,8,9
"Allen, Jarrett",5,39.4,5800,bkn,was,away, 115-104,31:48,16,12,0,1,2,0,0,5,11,6,8
"Turner, Myles",5,36.4,5400,ind,mia,home, 99-91,28:04,12,7,4,1,3,2,1,4,11,3,4
"Gasol, Marc",5,36,8500,mem,sac,home, 112-104,34:58,19,15,2,0,0,4,2,7,12,3,5
"Whiteside, Hassan",5,35.4,8800,mia,ind,away, 91-99,28:35,12,17,0,0,2,3,0,6,15,0,0
"Randle, Julius",5,35.2,6800,nor,nyk,home, 129-124,30:15,19,11,2,1,0,3,0,7,10,5,8
"Adebayo, Bam",5,30.7,3800,mia,ind,away, 91-99,19:12,8,6,3,2,2,1,0,3,7,2,3
"Cauley-Stein, Willie",5,30.6,7300,sac,mem,away, 104-112,34:49,11,8,2,3,0,2,0,5,9,1,3
"Horford, Al",5,29.8,6800,bos,tor,home, 123-116,35:14,11,9,2,0,2,1,1,5,9,0,0
"Towns, Karl-Anthony",5,29.3,10600,min,por,home, 112-96,33:33,14,9,1,1,1,3,2,6,15,0,0
"Gobert, Rudy",5,25.5,8100,uta,phi,away, 107-113,28:20,12,10,1,0,1,3,0,5,10,2,4
"Nurkic, Jusuf",5,25.2,8100,por,min,away, 96-112,23:08,13,11,0,0,1,4,0,5,8,3,4
"Lopez, Brook",5,24,5600,mil,chi,home, 123-104,29:30,14,5,0,0,2,2,4,5,10,0,0
"Robinson, Mitchell",5,21.9,4400,nyk,nor,away, 124-129,24:19,7,7,1,1,1,1,0,3,6,1,2
"Baynes, Aron",5,19.8,3900,bos,tor,home, 123-116,17:46,6,4,4,0,1,0,0,1,3,4,4
"Valanciunas, Jonas",5,19.5,5500,tor,bos,away, 116-123,19:04,11,5,1,0,1,2,0,5,8,1,1
"Muscala, Mike",5,18.8,3600,phi,uta,home, 113-107,31:33,9,4,0,1,1,1,3,3,7,0,0
"Maker, Thon",5,17.1,3500,mil,chi,home, 123-104,17:51,9,3,1,0,1,0,3,3,10,0,0
"Kanter, Enes",5,15,6000,nyk,nor,away, 124-129,15:07,8,5,0,1,0,2,0,3,5,2,2
"Dieng, Gorgui",5,14.1,3500,min,por,home, 112-96,14:27,6,3,1,1,0,0,0,3,4,0,1
"Lopez, Robin",5,9.7,3500,chi,mil,away, 104-123,19:54,5,1,1,0,1,1,0,2,5,1,2
"Mahinmi, Ian",5,8,3700,was,bkn,home, 104-115,9:55,3,5,0,0,0,1,0,0,3,3,4
"Felicio, Cristiano",5,0,3500,chi,mil,away, 104-123,3:29,0,0,0,0,0,0,0,0,2,0,0
"Monroe, Greg",5,0,3700,tor,bos,away, 116-123,DNP,0,0,0,0,0,0,0,0,0,0,0
"O'Quinn, Kyle",5,0,3500,ind,mia,home, 99-91,DNP,0,0,0,0,0,0,0,0,0,0,0
"Okafor, Jahlil",5,0,3500,nor,nyk,home, 129-124,NA,0,0,0,0,0,0,0,0,0,0,0
"Bradley, Tony",5,0,3500,uta,phi,away, 107-113,NA,0,0,0,0,0,0,0,0,0,0,0
"Williams, Robert",5,0,3500,bos,tor,home, 123-116,NA,0,0,0,0,0,0,0,0,0,0,0
"Koufos, Kosta",5,0,3500,sac,mem,away, 104-112,NA,0,0,0,0,0,0,0,0,0,0,0
"Bryant, Thomas",5,0,3500,was,bkn,home, 104-115,NA,0,0,0,0,0,0,0,0,0,0,0
"Patton, Justin",5,0,3500,phi,uta,home, 113-107,NA,0,0,0,0,0,0,0,0,0,0,0
"Udoh, Ekpe",5,-1,3500,uta,phi,away, 107-113,1:50,0,0,0,0,0,1,0,0,0,0,0
