Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Wade, Dean",PF,0,"$3,500",cle,bos,away, 88-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Jeffries, DaQuan",SF,0,"$3,500",sac,hou,away, 119-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Green, JaMychal",PF,0,"$4,500",lac,ind,away, 110-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Miller, Darius",SF,0,"$3,500",nor,det,home, 103-105,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Jackson, Josh",SF,0,"$3,500",mem,gsw,away, 110-102,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Doumbouya, Sekou",PF,0,"$3,500",det,nor,away, 105-103,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Towns, Karl-Anthony",C,58,"$11,200",min,pho,away, 109-125,34:43,   33pt 15rb 2as 2bl 2to 2trey 12-18fg 7-9ft,33,15,2,0,2,2,2,12,18,7,9
"Gasol, Marc",C,44.3,"$5,900",tor,chi,away, 93-92,29:28,   9pt 9rb 5as 2st 4bl 1to 1trey 4-7fg,9,9,5,2,4,1,1,4,7,0,0
"Adams, Steven",C,42.6,"$7,400",okc,uta,away, 104-90,28:26,   11pt 13rb 4as 4bl 2to 4-4fg 3-4ft,11,13,4,0,4,2,0,4,4,3,4
"Harrell, Montrezl",C,39.1,"$7,600",lac,ind,away, 110-99,29:44,   26pt 8rb 1as 1bl 1to 12-22fg 2-5ft,26,8,1,0,1,1,0,12,22,2,5
"Cauley-Stein, Willie",C,37.6,"$4,900",gsw,mem,home, 102-110,24:16,   17pt 8rb 2as 1st 2bl 1to 6-9fg 5-6ft,17,8,2,1,2,1,0,6,9,5,6
"Gobert, Rudy",C,36.9,"$7,800",uta,okc,home, 90-104,33:00,   19pt 17rb 1as 4to 9-10fg 1-2ft,19,17,1,0,0,4,0,9,10,1,2
"Capela, Clint",C,31.4,"$9,000",hou,sac,home, 118-119,36:35,   13pt 17rb 2to 5-6fg 3-6ft,13,17,0,0,0,2,0,5,6,3,6
"Thompson, Tristan",C,29.7,"$7,300",cle,bos,away, 88-110,35:30,   17pt 11rb 1as 1st 5to 8-11fg 1-7ft,17,11,1,1,0,5,0,8,11,1,7
"Zubac, Ivica",C,28.6,"$4,200",lac,ind,away, 110-99,20:51,   13pt 8rb 2as 1bl 5-7fg 3-3ft,13,8,2,0,1,0,0,5,7,3,3
"Hayes, Jaxson",C,28.3,"$4,900",nor,det,home, 103-105,21:05,   13pt 4rb 1as 2st 1bl 4-7fg 5-8ft,13,4,1,2,1,0,0,4,7,5,8
"Valanciunas, Jonas",C,28,"$8,800",mem,gsw,away, 110-102,27:16,   13pt 10rb 4as 3to 2trey 5-7fg 1-3ft,13,10,4,0,0,3,2,5,7,1,3
"Drummond, Andre",C,24,"$10,800",det,nor,away, 105-103,24:32,   13pt 10rb 1to 4-11fg 5-6ft,13,10,0,0,0,1,0,4,11,5,6
"Carter Jr., Wendell",C,23.7,"$7,500",chi,tor,home, 92-93,24:48,   14pt 6rb 3as 2to 5-8fg 4-5ft,14,6,3,0,0,2,0,5,8,4,5
"Baynes, Aron",C,20.3,"$6,200",pho,min,home, 125-109,15:17,   12pt 4rb 1as 1bl 1to 2trey 5-10fg,12,4,1,0,1,1,2,5,10,0,0
"Okafor, Jahlil",C,19.7,"$4,100",nor,det,home, 103-105,21:51,   9pt 6rb 1as 1bl 1to 3-4fg 3-3ft,9,6,1,0,1,1,0,3,4,3,3
"Lopez, Brook",C,15.6,"$5,500",mil,orl,home, 110-101,23:38,   9pt 3rb 1st 3trey 3-7fg,9,3,0,1,0,0,3,3,7,0,0
"Turner, Myles",C,15.5,"$6,600",ind,lac,home, 99-110,25:25,   5pt 5rb 3as 1bl 3to 1trey 2-9fg,5,5,3,0,1,3,1,2,9,0,0
"Poirier, Vincent",C,13,"$3,500",bos,cle,home, 110-88,8:40,   4pt 5rb 1st 2-4fg,4,5,0,1,0,0,0,2,4,0,0
"Kanter, Enes",C,12.3,"$4,200",bos,cle,home, 110-88,17:53,   7pt 4rb 1as 1to 3-5fg 1-2ft,7,4,1,0,0,1,0,3,5,1,2
"Dieng, Gorgui",C,11.4,"$3,500",min,pho,away, 109-125,12:08,   4pt 2rb 1st 1bl 1to 2-5fg,4,2,0,1,1,1,0,2,5,0,0
"Bradley, Tony",C,11.1,"$3,500",uta,okc,home, 90-104,2:45,   6pt 3rb 1as 3-4fg,6,3,1,0,0,0,0,3,4,0,0
"Bamba, Mohamed",C,9.2,"$4,800",orl,mil,away, 101-110,12:27,   2pt 1rb 2bl 1-4fg,2,1,0,0,2,0,0,1,4,0,0
"Lopez, Robin",C,8.2,"$3,500",mil,orl,home, 110-101,14:00,   4pt 1rb 2as 2-8fg,4,1,2,0,0,0,0,2,8,0,0
"Looney, Kevon",C,6.6,"$4,300",gsw,mem,home, 102-110,10:18,   0pt 3rb 1st 0-2fg,0,3,0,1,0,0,0,0,2,0,0
"Zizic, Ante",C,3,"$3,500",cle,bos,away, 88-110,2:33,   0pt 1bl 0-2fg,0,0,0,0,1,0,0,0,2,0,0
"Maker, Thon",C,3,"$3,500",det,nor,away, 105-103,3:06,   0pt 1bl,0,0,0,0,1,0,0,0,0,0,0
"Bitadze, Goga",C,0,"$3,500",ind,lac,home, 99-110,2:10,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Dedmon, Dewayne",C,0,"$3,700",sac,hou,away, 119-118,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Felicio, Cristiano",C,0,"$3,500",chi,tor,home, 92-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Chandler, Tyson",C,0,"$3,500",hou,sac,home, 118-119,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Fall, Tacko",C,0,"$3,500",bos,cle,home, 110-88,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Hilario, Nene",C,0,"$3,500",hou,sac,home, 118-119,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Williams, Robert",C,0,"$3,700",bos,cle,home, 110-88,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Vucevic, Nikola",C,0,"$8,100",orl,mil,away, 101-110,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Ayton, Deandre",C,0,"$3,500",pho,min,home, 125-109,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Patton, Justin",C,0,"$3,500",okc,uta,away, 104-90,NA,   ,0,0,0,0,0,0,0,0,0,0,0
