Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Green, Danny",SG,26.3,"$4,800",lal,uta,home, 95-86,28:20,   9pt 4rb 1as 3st 1bl 1to 2trey 3-8fg 1-2ft,9,4,1,3,1,1,2,3,8,1,2
"Morant, Ja",PG,26.1,"$7,100",mem,chi,home, 102-110,28:20,   10pt 3rb 5as 3st 4to 1trey 3-9fg 3-4ft,10,3,5,3,0,4,1,3,9,3,4
"Hield, Buddy",SG,25.5,"$7,000",sac,por,home, 112-122,31:39,   21pt 5rb 1as 3to 4trey 7-18fg 3-3ft,21,5,1,0,0,3,4,7,18,3,3
"Beasley, Malik",SG,25.3,"$3,500",den,pho,home, 108-107,28:43,   17pt 4rb 1as 1st 1to 2trey 7-11fg 1-1ft,17,4,1,1,0,1,2,7,11,1,1
"VanVleet, Fred",SG,25,"$6,600",tor,bos,away, 106-112,41:47,   8pt 5rb 6as 1st 1bl 4to 2trey 2-11fg 2-2ft,8,5,6,1,1,4,2,2,11,2,2
"Bradley, Avery",SG,24,"$3,700",lal,uta,home, 95-86,25:50,   9pt 5rb 2st 1bl 1trey 3-8fg 2-2ft,9,5,0,2,1,0,1,3,8,2,2
"Schroder, Dennis",SG,22.3,"$5,100",okc,was,home, 85-97,25:09,   9pt 4rb 3as 1st 1bl 2to 4-14fg 1-2ft,9,4,3,1,1,2,0,4,14,1,2
"Daniels, Troy",SG,20.6,"$3,500",lal,uta,home, 95-86,21:22,   15pt 3rb 1st 1to 4trey 5-9fg 1-1ft,15,3,0,1,0,1,4,5,9,1,1
"LeVert, Caris",SG,20.4,"$6,900",bkn,nyk,home, 113-109,24:14,   12pt 2rb 4as 2st 6to 1trey 4-7fg 3-4ft,12,2,4,2,0,6,1,4,7,3,4
"Harris, Gary",SG,20.4,"$5,200",den,pho,home, 108-107,34:08,   13pt 2rb 2st 1to 1trey 4-9fg 4-5ft,13,2,0,2,0,1,1,4,9,4,5
"Teague, Jeff",PG,18.9,"$6,200",min,cha,away, 121-99,22:19,   4pt 2rb 5as 2st 1to 1-4fg 2-3ft,4,2,5,2,0,1,0,1,4,2,3
"Smart, Marcus",SG,18.7,"$5,000",bos,tor,home, 112-106,28:06,   10pt 1rb 3as 1st 2trey 4-11fg,10,1,3,1,0,0,2,4,11,0,0
"Conley, Mike",PG,18.3,"$7,300",uta,lal,away, 86-95,31:15,   13pt 4rb 3as 4to 1trey 3-11fg 6-6ft,13,4,3,0,0,4,1,3,11,6,6
"Simons, Anfernee",PG,17.4,"$3,500",por,sac,away, 122-112,21:09,   15pt 2rb 1st 3to 3trey 6-9fg,15,2,0,1,0,3,3,6,9,0,0
"Brooks, Dillon",SG,17.1,"$4,300",mem,chi,home, 102-110,29:40,   6pt 3rb 1as 2st 1bl 3to 2trey 2-12fg,6,3,1,2,1,3,2,2,12,0,0
"Craig, Torrey",SG,17,"$3,800",den,pho,home, 108-107,22:59,   0pt 5rb 4bl 1to 0-4fg,0,5,0,0,4,1,0,0,4,0,0
"Smith, Ishmael",PG,16.9,"$5,100",was,okc,away, 97-85,32:47,   4pt 2rb 5as 1st 2-8fg,4,2,5,1,0,0,0,2,8,0,0
"Mudiay, Emmanuel",PG,16.4,"$3,700",uta,lal,away, 86-95,15:32,   12pt 2rb 2as 1st 4to 2trey 5-10fg,12,2,2,1,0,4,2,5,10,0,0
"Martin, Cody",SG,16.3,"$3,500",cha,min,home, 99-121,17:21,   4pt 4rb 1as 2st 1-4fg 2-2ft,4,4,1,2,0,0,0,1,4,2,2
"Payton, Elfrid",PG,15.8,"$5,700",nyk,bkn,away, 109-113,24:07,   10pt 4rb 2as 2to 2trey 4-10fg,10,4,2,0,0,2,2,4,10,0,0
"Alexander-Walker, Nickeil",SG,15.2,"$3,600",nor,dal,home, 116-123,14:47,   6pt 1rb 6as 1to 2trey 2-9fg,6,1,6,0,0,1,2,2,9,0,0
"Bacon, Dwayne",SG,14.8,"$6,100",cha,min,home, 99-121,20:54,   8pt 4rb 2as 1to 4-11fg 0-3ft,8,4,2,0,0,1,0,4,11,0,3
"Temple, Garrett",SG,13.9,"$3,500",bkn,nyk,home, 113-109,18:50,   6pt 2rb 1as 2st 2to 2trey 2-4fg,6,2,1,2,0,2,2,2,4,0,0
"Graham, Treveon",SG,13.4,"$4,200",min,cha,away, 121-99,22:59,   12pt 2rb 1to 2trey 4-8fg 2-2ft,12,2,0,0,0,1,2,4,8,2,2
"Jackson, Frank",PG,13,"$3,700",nor,dal,home, 116-123,14:47,   10pt 2as 2trey 4-9fg,10,0,2,0,0,0,2,4,9,0,0
"Joseph, Cory",PG,12.8,"$3,900",sac,por,home, 112-122,14:28,   5pt 4rb 2as 1trey 1-3fg 2-2ft,5,4,2,0,0,0,1,1,3,2,2
"Wanamaker, Brad",PG,12.6,"$3,500",bos,tor,home, 112-106,9:38,   4pt 3rb 1st 1bl 1to 1-3fg 2-2ft,4,3,0,1,1,1,0,1,3,2,2
"Curry, Seth",PG,12.4,"$3,600",dal,nor,away, 123-116,17:06,   8pt 2rb 1bl 1to 2trey 3-5fg,8,2,0,0,1,1,2,3,5,0,0
"Chiozza, Chris",PG,12.2,"$3,500",was,okc,away, 97-85,15:13,   0pt 1rb 4as 1st 1bl 1to 0-4fg,0,1,4,1,1,1,0,0,4,0,0
"Allen, Grayson",SG,11.7,"$3,500",mem,chi,home, 102-110,18:21,   6pt 1rb 3as 1trey 1-5fg 3-4ft,6,1,3,0,0,0,1,1,5,3,4
"Powell, Norman",SG,11.3,"$4,200",tor,bos,away, 106-112,21:46,   7pt 4rb 1as 2to 1trey 2-3fg 2-2ft,7,4,1,0,0,2,1,2,3,2,2
"Diallo, Hamidou",SG,11,"$3,500",okc,was,home, 85-97,18:00,   7pt 5rb 1st 5to 3-7fg 1-1ft,7,5,0,1,0,5,0,3,7,1,1
"Caldwell-Pope, Kentavious",SG,10.9,"$3,700",lal,uta,home, 95-86,20:44,   1pt 2rb 1as 2st 0-6fg 1-2ft,1,2,1,2,0,0,0,0,6,1,2
"Jones, Tyus",PG,10.1,"$5,500",mem,chi,home, 102-110,19:40,   4pt 3rb 3as 2to 1-5fg 2-2ft,4,3,3,0,0,2,0,1,5,2,2
"Guduric, Marko",SG,10.1,"$3,500",mem,chi,home, 102-110,17:05,   7pt 3rb 1as 2to 1trey 3-8fg,7,3,1,0,0,2,1,3,8,0,0
"Paul, Chris",PG,9.4,"$8,400",okc,was,home, 85-97,30:02,   6pt 2rb 4as 5to 3-9fg 0-3ft,6,2,4,0,0,5,0,3,9,0,3
"Ellington, Wayne",SG,9.4,"$3,500",nyk,bkn,away, 109-113,11:14,   9pt 2rb 2to 3trey 3-4fg,9,2,0,0,0,2,3,3,4,0,0
"Johnson, Tyler",PG,9.2,"$3,800",pho,den,away, 107-108,25:26,   9pt 1rb 1to 1trey 4-7fg,9,1,0,0,0,1,1,4,7,0,0
"Carter, Jevon",PG,8.9,"$3,600",pho,den,away, 107-108,17:30,   6pt 2rb 1as 1to 2trey 2-4fg,6,2,1,0,0,1,2,2,4,0,0
"Nwaba, David",SG,8.9,"$3,500",bkn,nyk,home, 113-109,14:08,   5pt 2rb 1as 1trey 2-2fg 0-2ft,5,2,1,0,0,0,1,2,2,0,2
"Cook, Quinn",PG,8.7,"$3,500",lal,uta,home, 95-86,21:12,   4pt 1rb 3as 1to 2-8fg,4,1,3,0,0,1,0,2,8,0,0
"Ferrell, Yogi",PG,8,"$3,500",sac,por,home, 112-122,2:34,   2pt 2as 1st 1-1fg,2,0,2,1,0,0,0,1,1,0,0
"Ferguson, Terrance",SG,6.8,"$3,500",okc,was,home, 85-97,22:03,   0pt 4rb 1bl 1to 0-4fg,0,4,0,0,1,1,0,0,4,0,0
"Smith Jr., Dennis",PG,5.5,"$4,100",nyk,bkn,away, 109-113,4:31,   1pt 1as 1bl 0-4fg 1-2ft,1,0,1,0,1,0,0,0,4,1,2
"Davis, Terence",SG,5.4,"$3,600",tor,bos,away, 106-112,8:51,   3pt 2rb 1trey 1-4fg,3,2,0,0,0,0,1,1,4,0,0
"Harrison, Shaquille",PG,4.2,"$3,500",chi,mem,away, 110-102,4:16,   3pt 1rb 1-1fg 1-2ft,3,1,0,0,0,0,0,1,1,1,2
"Redick, J.J.",SG,4,"$4,900",nor,dal,home, 116-123,21:35,   3pt 2as 2to 1trey 1-3fg,3,0,2,0,0,2,1,1,3,0,0
"Monk, Malik",SG,3.7,"$4,200",cha,min,home, 99-121,19:36,   0pt 1rb 3as 2to 0-3fg,0,1,3,0,0,2,0,0,3,0,0
"Arcidiacono, Ryan",PG,3.6,"$3,500",chi,mem,away, 110-102,14:41,   0pt 3rb 0-1fg,0,3,0,0,0,0,0,0,1,0,0
"Caruso, Alex",PG,3,"$4,400",lal,uta,home, 95-86,20:27,   2pt 1st 2to 1-3fg,2,0,0,1,0,2,0,1,3,0,0
"Morris, Monte",PG,3,"$3,700",den,pho,home, 108-107,12:23,   0pt 2as 0-6fg,0,0,2,0,0,0,0,0,6,0,0
"James, Justin",SG,2,"$3,500",sac,por,home, 112-122,2:34,   2pt 1-1fg,2,0,0,0,0,0,0,1,1,0,0
"Lee, Courtney",SG,2,"$3,500",dal,nor,away, 123-116,5:44,   2pt 1-2fg,2,0,0,0,0,0,0,1,2,0,0
"Mathews, Garrison",SG,1.7,"$3,500",was,okc,away, 97-85,13:04,   0pt 1rb 1as 1to 0-2fg,0,1,1,0,0,1,0,0,2,0,0
"Burton, Deonte",SG,1.2,"$3,500",okc,was,home, 85-97,3:58,   0pt 1rb 0-1fg,0,1,0,0,0,0,0,0,1,0,0
"Norvell Jr., Zach",SG,1.2,"$3,500",lal,uta,home, 95-86,2:31,   0pt 1rb 0-1fg,0,1,0,0,0,0,0,0,1,0,0
"Green, Javonte",SG,0,"$3,500",bos,tor,home, 112-106,00:04,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Trent Jr., Gary",SG,0,"$3,500",por,sac,away, 122-112,2:03,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Williams-Goss, Nigel",PG,0,"$3,500",uta,lal,away, 86-95,00:28,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Ntilikina, Frank",PG,0,"$3,500",nyk,bkn,away, 109-113,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Edwards, Carsen",PG,0,"$3,500",bos,tor,home, 112-106,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Dotson, Damyean",SG,0,"$3,500",nyk,bkn,away, 109-113,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Okobo, Elie",SG,0,"$3,500",pho,den,away, 107-108,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Melton, De'Anthony",PG,0,"$3,500",mem,chi,home, 102-110,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Harper, Jared",PG,0,"$3,500",pho,den,away, 107-108,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Dozier, PJ",SG,0,"$3,500",den,pho,home, 108-107,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Robinson, Justin",PG,0,"$3,500",was,okc,away, 97-85,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Pinson, Theo",SG,0,"$3,500",bkn,nyk,home, 113-109,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"McRae, Jordan",SG,0,"$3,700",was,okc,away, 97-85,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Matt",SG,0,"$3,500",tor,bos,away, 106-112,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Isaiah",PG,0,"$4,900",was,okc,away, 97-85,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Bullock, Reggie",SG,0,"$3,700",nyk,bkn,away, 109-113,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Cleveland, Antonius",SG,0,"$3,500",dal,nor,away, 123-116,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Roberson, Andre",SG,0,"$3,500",okc,was,home, 85-97,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Oni, Miye",SG,0,"$3,500",uta,lal,away, 86-95,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"McCaw, Patrick",SG,0,"$3,500",tor,bos,away, 106-112,NA,   ,0,0,0,0,0,0,0,0,0,0,0
