Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Crawford, Jamal",SG,7.2,"$3,500",pho,min,home, 91-118,21:35,   0pt 1rb 4as 0-4fg,0,1,4,0,0,0,0,0,4,0,0
"McCaw, Patrick",SG,7.1,"$3,500",tor,sac,home, 120-105,7:23,   0pt 3rb 1as 1st 1to 0-2fg,0,3,1,1,0,1,0,0,2,0,0
"Terrell, Jared",SG,5.5,"$3,500",min,pho,away, 118-91,5:36,   5pt 1as 1to 1trey 2-3fg,5,0,1,0,0,1,1,2,3,0,0
"Wallace, Tyrone",SG,5.2,"$3,500",lac,dal,away, 98-106,9:36,   4pt 1rb 1-5fg 2-2ft,4,1,0,0,0,0,0,1,5,2,2
"Williams, C.J.",SG,4.7,"$3,500",min,pho,away, 118-91,5:36,   3pt 1rb 1as 1to 1trey 1-1fg,3,1,1,0,0,1,1,1,1,0,0
"Thornwell, Sindarius",SG,4.2,"$3,500",lac,dal,away, 98-106,7:23,   3pt 1rb 1-1fg 1-4ft,3,1,0,0,0,0,0,1,1,1,4
"Curry, Seth",PG,3.2,"$3,500",por,okc,away, 114-123,12:29,   2pt 1rb 1-2fg,2,1,0,0,0,0,0,1,2,0,0
"Brunson, Jalen",PG,0,"$3,700",dal,lac,home, 106-98,3:47,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Richardson, Malachi",SG,0,"$3,500",tor,sac,home, 120-105,1:29,   0pt,0,0,0,0,0,0,0,0,0,0,0
"Loyd, Jordan",PG,0,"$3,500",tor,sac,home, 120-105,1:29,   0pt 0-1fg,0,0,0,0,0,0,0,0,1,0,0
"Okobo, Elie",PG,0,"$3,600",pho,min,home, 91-118,3:48,   0pt 0-4fg,0,0,0,0,0,0,0,0,4,0,0
"Felton, Raymond",PG,0,"$3,500",okc,por,home, 123-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Stauskas, Nik",SG,0,"$3,500",por,okc,away, 114-123,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Baldwin, Wade",PG,0,"$3,500",por,okc,away, 114-123,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Shumpert, Iman",SG,0,"$3,800",sac,tor,away, 105-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Diallo, Hamidou",SG,0,"$3,500",okc,por,home, 123-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Luwawu, Timothe",SG,0,"$3,500",okc,por,home, 123-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Fox, De'Aaron",PG,0,"$8,000",sac,tor,away, 105-120,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Abrines, Alex",SG,0,"$3,600",okc,por,home, 123-114,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Teodosic, Milos",PG,0,"$3,500",lac,dal,away, 98-106,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Macon, Daryl",PG,0,"$3,500",dal,lac,home, 106-98,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Simons, Anfernee",SG,0,"$3,500",por,okc,away, 114-123,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Burton, Deonte",SG,0,"$3,500",okc,por,home, 123-114,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Evans, Jawun",PG,0,"$3,500",pho,min,home, 91-118,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Roberson, Andre",SG,0,"$3,500",okc,por,home, 123-114,NA,   ,0,0,0,0,0,0,0,0,0,0,0
