Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Johnson, Dakari",5,0,3500,okc,mia,away, 115-93,00:41,0,0,0,0,0,0,0,0,0,0,0
"Maker, Thon",5,0,3500,mil,orl,home, 102-86,2:07,0,0,0,0,0,0,0,0,0,0,0
"Leonard, Meyers",5,0,3700,por,den,away, 82-88,00:20,0,0,0,0,0,0,0,0,0,0,0
"Lopez, Robin",5,0,3800,chi,bkn,away, 105-114,DNP,0,0,0,0,0,0,0,0,0,0,0
"Okafor, Jahlil",5,0,3700,bkn,chi,home, 114-105,DNP,0,0,0,0,0,0,0,0,0,0,0
"Speights, Marreese",5,0,4100,orl,mil,away, 86-102,DNP,0,0,0,0,0,0,0,0,0,0,0
"Koufos, Kosta",5,0,3900,sac,sas,away, 85-98,DNP,0,0,0,0,0,0,0,0,0,0,0
"Mozgov, Timofey",5,0,3500,bkn,chi,home, 114-105,DNP,0,0,0,0,0,0,0,0,0,0,0
"Haslem, Udonis",5,0,3500,mia,okc,home, 93-115,DNP,0,0,0,0,0,0,0,0,0,0,0
"Papagiannis, Georgios",5,0,3500,por,den,away, 82-88,NA,0,0,0,0,0,0,0,0,0,0,0
"Nogueira, Lucas",5,0,3600,tor,det,away, 108-98,NA,0,0,0,0,0,0,0,0,0,0,0
"Plumlee, Marshall",5,0,3500,mil,orl,home, 102-86,NA,0,0,0,0,0,0,0,0,0,0,0
"Drummond, Andre",5,0,10900,det,tor,home, 98-108,NA,0,0,0,0,0,0,0,0,0,0,0
"Patton, Justin",5,0,3500,min,mem,home, 113-94,NA,0,0,0,0,0,0,0,0,0,0,0
"Kanter, Enes",5,0,6600,nyk,cle,home, 109-123,NA,0,0,0,0,0,0,0,0,0,0,0
"Gasol, Marc",5,0,5500,mem,min,away, 94-113,NA,0,0,0,0,0,0,0,0,0,0,0
