Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Herro, Tyler",SG,21,"$4,200",mia,phi,home, 117-116,34:09,   16pt 5rb 1to 4trey 6-14fg,16,5,0,0,0,1,4
"Burke, Trey",PG,20.6,"$3,500",phi,mia,away, 116-117,22:10,   11pt 3rb 4as 1trey 5-9fg,11,3,4,0,0,0,1
"Dunn, Kris",PG,20.4,"$5,600",chi,atl,home, 116-81,30:16,   4pt 2rb 4as 3st 1to 2-6fg,4,2,4,3,0,1,0
"DiVincenzo, Donte",SG,20.3,"$4,900",mil,orl,home, 111-100,26:27,   7pt 9rb 5as 5to 1trey 3-5fg,7,9,5,0,0,5,1
"Hart, Josh",SG,20.3,"$4,800",nor,ind,home, 120-98,26:11,   11pt 4rb 1as 1st 2trey 4-8fg 1-2ft,11,4,1,1,0,0,2
"Connaughton, Pat",SG,20.1,"$3,500",mil,orl,home, 111-100,23:04,   3pt 8rb 5as 1-5fg 1-2ft,3,8,5,0,0,0,0
"Galloway, Langston",SG,20.1,"$3,700",det,sas,away, 109-136,27:00,   15pt 3rb 1as 3trey 6-9fg,15,3,1,0,0,0,3
"Beverley, Patrick",PG,20,"$4,700",lac,uta,home, 107-120,23:08,   12pt 5rb 1bl 1to 1trey 5-9fg 1-1ft,12,5,0,0,1,1,1
"Robinson, Duncan",SG,19.8,"$3,600",mia,phi,home, 117-116,18:52,   16pt 4rb 1to 4trey 6-6fg,16,4,0,0,0,1,4
"Luwawu, Timothe",SG,19.7,"$3,500",bkn,hou,away, 98-108,25:00,   6pt 6rb 3as 1st 1to 2trey 2-6fg 0-2ft,6,6,3,1,0,1,2
"Barrett, RJ",SG,19.5,"$5,400",nyk,was,away, 107-100,31:16,   14pt 5rb 1as 2to 3trey 5-13fg 1-1ft,14,5,1,0,0,2,3
"Redick, J.J.",SG,19.4,"$4,400",nor,ind,home, 120-98,25:13,   15pt 2rb 2as 1to 3trey 5-12fg 2-2ft,15,2,2,0,0,1,3
"Ball, Lonzo",PG,19.3,"$4,900",nor,ind,home, 120-98,30:16,   13pt 4rb 3as 3to 4trey 4-11fg 1-2ft,13,4,3,0,0,3,4
"White, Coby",PG,19,"$3,800",chi,atl,home, 116-81,25:43,   18pt 5rb 5to 2trey 8-11fg,18,5,0,0,0,5,2
"Ross, Terrence",SG,18.9,"$4,400",orl,mil,away, 100-111,27:24,   9pt 2rb 1as 1st 1bl 1trey 3-7fg 2-2ft,9,2,1,1,1,0,1
"Shamet, Landry",PG,18.7,"$3,700",lac,uta,home, 107-120,25:37,   13pt 1rb 1as 1st 4trey 4-6fg 1-1ft,13,1,1,1,0,0,4
"Payton, Elfrid",PG,17.8,"$5,600",nyk,was,away, 107-100,30:59,   4pt 4rb 8as 1bl 6to 2-8fg,4,4,8,0,1,6,0
"Rivers, Austin",PG,16.7,"$3,700",hou,bkn,home, 108-98,21:55,   14pt 1rb 1as 4trey 5-12fg,14,1,1,0,0,0,4
"Davis, Terence",SG,16.4,"$3,500",tor,bos,away, 113-97,21:36,   7pt 7rb 2as 2to 1trey 3-5fg,7,7,2,0,0,2,1
"Pinson, Theo",SG,15.5,"$3,500",bkn,hou,away, 98-108,9:55,   11pt 1as 1st 1trey 4-10fg 2-2ft,11,0,1,1,0,0,1
"McConnell, T.J.",PG,15.4,"$3,800",ind,nor,away, 98-120,24:52,   4pt 2rb 6as 1st 3to 2-5fg,4,2,6,1,0,3,0
"Mills, Patty",PG,14.9,"$4,000",sas,det,home, 136-109,15:11,   8pt 2rb 3as 2trey 3-10fg,8,2,3,0,0,0,2
"Harrison, Shaquille",PG,14.9,"$3,500",chi,atl,home, 116-81,5:17,   2pt 2rb 1as 2st 1bl 0-3fg 2-2ft,2,2,1,2,1,0,0
"Bowman, Ky",PG,14.9,"$3,700",gsw,dal,home, 121-141,23:09,   5pt 2rb 5as 1trey 2-5fg,5,2,5,0,0,0,1
"Napier, Shabazz",PG,14.9,"$4,700",min,cle,home, 88-94,22:32,   9pt 2rb 3as 1st 4to 1trey 3-17fg 2-2ft,9,2,3,1,0,4,1
"Okobo, Elie",SG,14.7,"$3,800",pho,sac,away, 112-110,11:54,   6pt 1rb 3as 1st 1trey 1-4fg 3-3ft,6,1,3,1,0,0,1
"Dotson, Damyean",SG,14.6,"$3,700",nyk,was,away, 107-100,26:28,   5pt 3rb 2as 1st 1trey 2-7fg,5,3,2,1,0,0,1
"Fultz, Markelle",PG,14.6,"$5,200",orl,mil,away, 100-111,29:38,   4pt 3rb 6as 2to 1-10fg 2-2ft,4,3,6,0,0,2,0
