Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Satoransky, Tomas",PG,9.5,"$5,000",chi,cha,away, 125-126,24:22,   2pt 3as 1bl 1-5fg,2,0,3,0,1,0,0
"Temple, Garrett",SG,9,"$3,500",bkn,min,home, 126-127,17:02,   4pt 2st 1to 2-6fg,4,0,0,2,0,1,0
"Korkmaz, Furkan",SG,7.8,"$3,500",phi,bos,home, 107-93,19:02,   3pt 4rb 1trey 1-2fg,3,4,0,0,0,0,1
"Carter-Williams, Michael",PG,7.6,"$3,600",orl,cle,home, 94-85,14:28,   2pt 3rb 1st 1to 1-2fg,2,3,0,1,0,1,0
"Allen, Grayson",SG,7.2,"$3,500",mem,mia,away, 101-120,20:48,   5pt 1rb 2as 2to 1trey 2-6fg,5,1,2,0,0,2,1
"Ellington, Wayne",SG,6.7,"$3,500",nyk,sas,away, 111-120,12:56,   3pt 1rb 1as 1bl 2to 1trey 1-4fg,3,1,1,0,1,2,1
"Nwaba, David",SG,6.6,"$3,500",bkn,min,home, 126-127,13:05,   1pt 3rb 1bl 1to 1-2ft,1,3,0,0,1,1,0
"Bogdanovic, Bogdan",SG,6.4,"$5,400",sac,pho,away, 95-124,22:04,   2pt 2rb 2as 1to 1-10fg,2,2,2,0,0,1,0
"Holiday, Aaron",PG,6.2,"$3,500",ind,det,home, 110-119,6:44,   0pt 1rb 2as 1st 1to 0-6fg,0,1,2,1,0,1,0
"Melton, De'Anthony",PG,6,"$3,500",mem,mia,away, 101-120,2:45,   0pt 2as 1st 0-2ft,0,0,2,1,0,0,0
"Lee, Courtney",SG,5.2,"$3,500",dal,was,home, 108-100,16:02,   4pt 1rb 2-5fg,4,1,0,0,0,0,0
"Ferguson, Terrance",SG,4.9,"$3,500",okc,uta,away, 95-100,23:51,   2pt 2rb 1as 1to 2-2ft,2,2,1,0,0,1,0
"Robinson, Duncan",SG,4.7,"$3,500",mia,mem,home, 120-101,22:56,   3pt 1rb 1as 1to 1trey 1-5fg,3,1,1,0,0,1,1
"Belinelli, Marco",SG,4.7,"$3,500",sas,nyk,home, 120-111,17:46,   3pt 1rb 1as 1to 1-2fg 1-2ft,3,1,1,0,0,1,0
"Edwards, Carsen",PG,4.2,"$3,600",bos,phi,away, 93-107,11:25,   3pt 1rb 1trey 1-5fg,3,1,0,0,0,0,1
"Ferrell, Yogi",PG,4.2,"$3,700",sac,pho,away, 95-124,3:59,   3pt 1rb 1trey 1-2fg,3,1,0,0,0,0,1
"Smith Jr., Dennis",PG,3.5,"$6,100",nyk,sas,away, 111-120,10:20,   2pt 1as 1-4fg,2,0,1,0,0,0,0
"Okobo, Elie",SG,3,"$3,500",pho,sac,home, 124-95,1:59,   3pt 1trey 1-1fg,3,0,0,0,0,0,1
"Frazier, Tim",PG,0,"$3,500",det,ind,away, 119-110,1:04,   0pt 0-1fg,0,0,0,0,0,0,0
"Harper, Jared",PG,0,"$3,500",pho,sac,home, 124-95,1:59,   0pt 0-1fg,0,0,0,0,0,0,0
