Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Reed, Davon",SG,4.5,"$3,500",ind,v gsw, 100-132,2:45,   3pt 1as 1trey 1-2fg
"Wanamaker, Brad",PG,3.2,"$3,600",bos,v bkn, 112-104,5:40,   3pt 1rb 1to 1trey 1-3fg
"Wallace, Tyrone",SG,0,"$3,500",lac,v atl, 118-123,3:12,   0pt 0-1fg
"Thornwell, Sindarius",SG,0,"$3,500",lac,v atl, 118-123,3:43,   0pt 0-1fg
"Lee, Courtney",SG,0,"$3,600",nyk,@ cha, 92-101,DNP,   
"Anderson, Justin",SG,0,"$3,500",atl,@ lac, 123-118,DNP,   
"Graham, Treveon",SG,0,"$3,600",bkn,@ bos, 104-112,DNP,   
"Hamilton, Daniel",SG,0,"$3,600",atl,@ lac, 123-118,DNP,   
"Carter, Jevon",PG,0,"$3,800",mem,v den, 92-95,DNP,   
"Graham, Devonte'",PG,0,"$3,800",cha,v nyk, 101-92,DNP,   
"Goodwin, Brandon",PG,0,"$3,500",den,@ mem, 95-92,DNP,   
"Dorsey, Tyler",SG,0,"$3,500",atl,@ lac, 123-118,DNP,   
"Evans III, Jacob",SG,0,"$3,500",gsw,@ ind, 132-100,NA,   
"Chealey, Joe",PG,0,"$3,500",cha,v nyk, 101-92,NA,   
"Irving, Kyrie",PG,0,"$10,500",bos,v bkn, 112-104,NA,   
"LeVert, Caris",SG,0,"$3,500",bkn,@ bos, 104-112,NA,   
"Teodosic, Milos",PG,0,"$3,500",lac,v atl, 118-123,NA,   
"Ntilikina, Frank",PG,0,"$4,200",nyk,@ cha, 92-101,NA,   
"Temple, Garrett",SG,0,"$3,900",mem,v den, 92-95,NA,   
"Dozier, PJ",SG,0,"$3,500",bos,v bkn, 112-104,NA,   
"Brooks, Dillon",SG,0,"$3,800",mem,v den, 92-95,NA,   
"Bazemore, Kent",SG,0,"$6,400",atl,@ lac, 123-118,NA,   
"Macura, J.P.",SG,0,"$3,500",cha,v nyk, 101-92,NA,   
"Oladipo, Victor",SG,0,"$7,200",ind,v gsw, 100-132,NA,   
"Mudiay, Emmanuel",PG,0,"$6,100",nyk,@ cha, 92-101,NA,   
"Murray, Jamal",PG,0,"$7,000",den,@ mem, 95-92,NA,   
"Thomas, Isaiah",PG,0,"$3,500",den,@ mem, 95-92,NA,   
"Adams, Jaylen",SG,0,"$3,500",atl,@ lac, 123-118,NA,   
"Bird, Jabari",SG,0,"$3,500",bos,v bkn, 112-104,NA,   
"Hunter, R.J.",SG,0,"$3,500",bos,v bkn, 112-104,NA,   
"Dinwiddie, Spencer",PG,0,"$6,300",bkn,@ bos, 104-112,NA,   
"Crabbe, Allen",SG,0,"$4,200",bkn,@ bos, 104-112,NA,   
"Harris, Tobias",SF,54.1,"$7,800",lac,v atl, 118-123,35:58,   30pt 8rb 7as 2bl 2to 2trey 11-18fg 6-7ft
"Hollis-Jefferson, Rondae",PF,34.3,"$4,000",bkn,@ bos, 104-112,27:23,   14pt 9rb 3as 2bl 1to 7-19fg
"Morris, Marcus",PF,34.1,"$5,300",bos,v bkn, 112-104,30:45,   15pt 8rb 3as 1st 2bl 4to 1trey 6-13fg 2-2ft
"Collins, John",PF,33.2,"$8,300",atl,@ lac, 123-118,30:08,   22pt 6rb 2st 2to 3trey 7-10fg 5-5ft
"Harrell, Montrezl",PF,31.8,"$7,000",lac,v atl, 118-123,32:29,   18pt 4rb 3st 1bl 3to 9-15fg
"Barton, Will",SF,30,"$6,300",den,@ mem, 95-92,35:44,   20pt 5rb 2as 1st 2to 2trey 9-15fg
"Jackson, Jaren",PF,29.4,"$6,500",mem,v den, 92-95,25:29,   8pt 7rb 2st 3bl 2to 4-10fg
"Bridges, Miles",SF,29.1,"$3,500",cha,v nyk, 101-92,24:24,   11pt 8rb 3as 1st 1bl 2to 1trey 4-5fg 2-3ft
"Davis, Ed",PF,27.7,"$4,300",bkn,@ bos, 104-112,22:41,   8pt 11rb 3as 1bl 1to 3-5fg 2-2ft
"Batum, Nicolas",SF,27.2,"$5,000",cha,v nyk, 101-92,31:12,   6pt 6rb 2as 4bl 1to 1trey 2-6fg 1-2ft
"Durant, Kevin",SF,27.1,"$9,800",gsw,@ ind, 132-100,30:14,   16pt 3rb 7as 3to 1trey 7-21fg 1-1ft
"Knox, Kevin",SF,26.1,"$5,300",nyk,@ cha, 92-101,34:41,   19pt 3rb 1as 1st 1to 3trey 7-16fg 2-3ft
"Carroll, DeMarre",SF,25,"$4,700",bkn,@ bos, 104-112,27:44,   12pt 5rb 2as 2st 2to 2trey 4-10fg 2-3ft
"Vonleh, Noah",PF,24.4,"$6,600",nyk,@ cha, 92-101,35:08,   5pt 12rb 2as 1bl 1to 2-7fg 1-2ft
"Young, Thaddeus",PF,23.4,"$6,300",ind,v gsw, 100-132,26:00,   11pt 7rb 4as 2to 1trey 5-10fg
"Williams, Marvin",PF,22.9,"$5,400",cha,v nyk, 101-92,36:09,   7pt 7rb 3as 1bl 1trey 3-12fg
"Anderson, Kyle",SF,22.7,"$5,700",mem,v den, 92-95,29:59,   9pt 6rb 3as 1st 1bl 4to 4-8fg 1-2ft
"Tatum, Jayson",PF,21.7,"$6,500",bos,v bkn, 112-104,30:26,   6pt 6rb 1as 1st 2bl 2to 3-9fg
"Hezonja, Mario",SF,19.8,"$3,900",nyk,@ cha, 92-101,25:37,   9pt 4rb 2as 1st 1bl 3to 4-11fg 1-2ft
"Bogdanovic, Bojan",SF,19.6,"$5,700",ind,v gsw, 100-132,27:58,   15pt 3rb 2as 2to 3trey 5-13fg 2-2ft
"Bembry, DeAndre",SF,19,"$4,800",atl,@ lac, 123-118,28:10,   6pt 4as 2st 1bl 2to 2-6fg 2-2ft
"Harris, Gary",SF,18.3,"$4,800",den,@ mem, 95-92,31:24,   11pt 4rb 3as 2to 4-11fg 3-3ft
"Creek, Mitch",SF,16.5,"$3,500",bkn,@ bos, 104-112,18:37,   6pt 5rb 1as 1st 2-5fg 2-2ft
"Prince, Taurean",SF,16.4,"$5,300",atl,@ lac, 123-118,30:13,   9pt 2rb 2bl 1to 3-9fg 3-5ft
"Millsap, Paul",PF,15.5,"$5,600",den,@ mem, 95-92,29:16,   4pt 5rb 1as 1st 1bl 2to 0-5fg 4-4ft
"Sabonis, Domantas",PF,14.5,"$6,800",ind,v gsw, 100-132,19:47,   6pt 5rb 3as 2to 3-8fg
"McDermott, Doug",SF,13.2,"$3,500",ind,v gsw, 100-132,18:34,   6pt 6rb 1trey 2-7fg 1-1ft
"Hayward, Gordon",SF,13.1,"$5,000",bos,v bkn, 112-104,20:32,   2pt 3rb 3as 1st 1bl 3to 1-6fg
"Leaf, TJ",PF,11.9,"$3,500",ind,v gsw, 100-132,14:59,   8pt 2rb 1as 4-7fg 0-1ft
"Thomas, Lance",SF,11.9,"$3,500",nyk,@ cha, 92-101,22:23,   5pt 2rb 1as 1st 1-5fg 3-4ft
"Carter, Vince",SF,11.8,"$3,500",atl,@ lac, 123-118,7:28,   5pt 4rb 2as 1to 1trey 2-3fg
"Kidd-Gilchrist, Michael",SF,11.6,"$4,400",cha,v nyk, 101-92,9:58,   2pt 3rb 2as 1st 1-4fg
"Caboclo, Bruno",SF,11,"$3,900",mem,v den, 92-95,23:02,   5pt 5rb 1trey 1-6fg 2-2ft
"Kurucs, Rodions",PF,10.4,"$4,100",bkn,@ bos, 104-112,26:17,   5pt 2rb 1st 1trey 1-9fg 2-2ft
"Spellman, Omari",PF,10.1,"$3,500",atl,@ lac, 123-118,10:31,   5pt 3rb 1as 1trey 2-3fg
"Harris, Joe",SF,9.2,"$5,000",bkn,@ bos, 104-112,19:21,   5pt 1rb 1bl 1trey 2-8fg
"McKinnie, Alfonzo",SF,8.1,"$3,500",gsw,@ ind, 132-100,11:58,   0pt 3rb 1as 1st 0-1fg
"Scott, Mike",PF,7.2,"$3,500",lac,v atl, 118-123,12:02,   3pt 1rb 2as 1trey 1-3fg
"Derrickson, Marcus",PF,6.2,"$3,500",gsw,@ ind, 132-100,8:57,   5pt 1rb 1trey 2-5fg
