Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Allen, Grayson",SG,1.2,"$3,500",uta,pho,home, 116-88,2:59,   0pt 1rb 0-2fg,0,1,0,0,0,0,0,0,2,0,0
"Connaughton, Pat",SG,1,"$3,700",mil,was,home, 148-129,2:48,   1pt 1-2ft,1,0,0,0,0,0,0,0,0,1,2
"Lee, Courtney",SG,0,"$3,500",dal,cha,home, 99-93,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Blakeney, Antonio",SG,0,"$4,000",chi,nor,home, 120-125,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Shumpert, Iman",SG,0,"$4,500",sac,hou,home, 101-127,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Goodwin, Brandon",PG,0,"$3,500",den,bkn,away, 130-135,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Sampson, Brandon",SG,0,"$3,500",chi,nor,home, 120-125,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Booker, Devin",SG,0,"$8,400",pho,uta,away, 88-116,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Knight, Brandon",PG,0,"$3,500",hou,sac,away, 127-101,DNP,   ,0,0,0,0,0,0,0,0,0,0,0
"Evans III, Jacob",SG,0,"$3,500",gsw,sas,home, 141-102,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Chealey, Joe",PG,0,"$3,500",cha,dal,away, 93-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Payton, Elfrid",PG,0,"$5,700",nor,chi,away, 125-120,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"McLemore, Ben",SG,0,"$3,600",sac,hou,home, 101-127,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"LeVert, Caris",SG,0,"$3,500",bkn,den,home, 135-130,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Murray, Dejounte",PG,0,"$3,500",sas,gsw,away, 102-141,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Macon, Daryl",PG,0,"$3,500",dal,cha,home, 99-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"White, Derrick",PG,0,"$6,100",sas,gsw,away, 102-141,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Wall, John",PG,0,"$3,500",was,mil,away, 129-148,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Alkins, Rawle",SG,0,"$3,500",chi,nor,home, 120-125,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Macura, J.P.",SG,0,"$3,500",cha,dal,away, 93-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Barea, Jose",PG,0,"$3,500",dal,cha,home, 99-93,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"DeRozan, DeMar",SG,0,"$8,000",sas,gsw,away, 102-141,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Exum, Dante",PG,0,"$3,500",uta,pho,home, 116-88,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Thomas, Isaiah",PG,0,"$3,500",den,bkn,away, 130-135,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"DiVincenzo, Donte",SG,0,"$3,500",mil,was,home, 148-129,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Mitrou-Long, Nazareth",SG,0,"$3,500",uta,pho,home, 116-88,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Duval, Trevon",PG,0,"$3,500",mil,was,home, 148-129,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Melton, De'Anthony",PG,0,"$3,800",pho,uta,away, 88-116,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Dinwiddie, Spencer",PG,0,"$6,300",bkn,den,home, 135-130,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Lee, Damion",SG,0,"$3,500",gsw,sas,home, 141-102,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Bluiett, Trevon",SG,0,"$3,500",nor,chi,away, 125-120,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Parker, Tony",PG,0,"$3,500",cha,dal,away, 93-99,NA,   ,0,0,0,0,0,0,0,0,0,0,0
"Antetokounmpo, Giannis",SF,61.2,"$11,900",mil,was,home, 148-129,31:28,   43pt 6rb 4as 3st 4to 3trey 17-21fg 6-11ft,43,6,4,3,0,4,3,17,21,6,11
"Durant, Kevin",SF,55.1,"$9,600",gsw,sas,home, 141-102,28:35,   23pt 8rb 9as 3st 3trey 9-13fg 2-2ft,23,8,9,3,0,0,3,9,13,2,2
"Jackson, Josh",PF,53.3,"$6,400",pho,uta,away, 88-116,38:23,   27pt 4rb 7as 5st 4to 1trey 9-16fg 8-10ft,27,4,7,5,0,4,1,9,16,8,10
"Carroll, DeMarre",SF,49,"$4,900",bkn,den,home, 135-130,28:28,   18pt 10rb 6as 4st 2to 2trey 3-8fg 10-13ft,18,10,6,4,0,2,2,3,8,10,13
"Markkanen, Lauri",PF,43,"$7,800",chi,nor,home, 120-125,40:52,   30pt 10rb 2as 2to 5trey 10-19fg 5-5ft,30,10,2,0,0,2,5,10,19,5,5
"Randle, Julius",PF,41.9,"$8,500",nor,chi,away, 125-120,30:32,   31pt 7rb 3as 2to 4trey 10-18fg 7-9ft,31,7,3,0,0,2,4,10,18,7,9
"Powell, Dwight",PF,40.4,"$5,500",dal,cha,home, 99-93,26:57,   11pt 12rb 2as 2st 2bl 4-7fg 3-3ft,11,12,2,2,2,0,0,4,7,3,3
"Green, Gerald",SF,38.2,"$3,600",hou,sac,away, 127-101,28:34,   25pt 1rb 2st 2bl 4trey 8-17fg 5-6ft,25,1,0,2,2,0,4,8,17,5,6
"Ingles, Joe",SF,35.1,"$5,600",uta,pho,home, 116-88,33:34,   15pt 3rb 11as 1st 3to 2trey 6-10fg 1-1ft,15,3,11,1,0,3,2,6,10,1,1
"Faried, Kenneth",PF,34.7,"$8,000",hou,sac,away, 127-101,30:29,   13pt 11rb 1as 1st 2bl 2to 1trey 6-9fg,13,11,1,1,2,2,1,6,9,0,0
"Batum, Nicolas",SF,33.9,"$5,200",cha,dal,away, 93-99,35:16,   14pt 2rb 5as 2st 2bl 2to 2trey 6-13fg,14,2,5,2,2,2,2,6,13,0,0
"Finney-Smith, Dorian",SF,32,"$4,200",dal,cha,home, 99-93,33:10,   15pt 10rb 2as 1st 1to 1trey 7-11fg,15,10,2,1,0,1,1,7,11,0,0
"Diallo, Cheick",PF,31.8,"$4,100",nor,chi,away, 125-120,22:56,   18pt 9rb 1bl 7-8fg 4-5ft,18,9,0,0,1,0,0,7,8,4,5
"Green, Jeff",PF,30.3,"$5,800",was,mil,away, 129-148,37:08,   22pt 4rb 3as 1bl 4to 5trey 6-10fg 5-5ft,22,4,3,0,1,4,5,6,10,5,5
"Williams, Kenrich",PF,29.4,"$5,400",nor,chi,away, 125-120,35:33,   12pt 7rb 2as 2bl 2trey 4-9fg 2-4ft,12,7,2,0,2,0,2,4,9,2,4
"Favors, Derrick",PF,28.6,"$5,600",uta,pho,home, 116-88,23:00,   14pt 3rb 2st 2bl 1to 6-11fg 2-2ft,14,3,0,2,2,1,0,6,11,2,2
"Tucker, P.J.",PF,28.5,"$4,500",hou,sac,away, 127-101,34:22,   2pt 10rb 1as 5st 2to 1-4fg,2,10,1,5,0,2,0,1,4,0,0
"O'Neale, Royce",SF,28.4,"$3,700",uta,pho,home, 116-88,26:58,   15pt 2rb 4as 2st 1to 3trey 5-6fg 2-2ft,15,2,4,2,0,1,3,5,6,2,2
"Oubre, Kelly",SF,28.3,"$6,800",pho,uta,away, 88-116,32:03,   16pt 4rb 3as 1st 1bl 3to 5-10fg 6-7ft,16,4,3,1,1,3,0,5,10,6,7
"Harris, Joe",SF,28,"$5,100",bkn,den,home, 135-130,31:40,   17pt 5rb 2as 1st 1to 3trey 7-13fg,17,5,2,1,0,1,3,7,13,0,0
"Bagley, Marvin",PF,27.5,"$6,800",sac,hou,home, 101-127,27:17,   10pt 10rb 1as 2bl 2to 4-12fg 2-2ft,10,10,1,0,2,2,0,4,12,2,2
"Giles, Harry",PF,24.9,"$3,900",sac,hou,home, 101-127,17:13,   14pt 7rb 1as 1st 2to 5-11fg 4-5ft,14,7,1,1,0,2,0,5,11,4,5
"Bjelica, Nemanja",SF,24.2,"$3,700",sac,hou,home, 101-127,25:27,   15pt 6rb 2as 1bl 4to 3trey 6-7fg,15,6,2,0,1,4,3,6,7,0,0
"Ariza, Trevor",SF,23.4,"$6,400",was,mil,away, 129-148,31:53,   5pt 2rb 8as 2st 2to 1trey 1-6fg 2-2ft,5,2,8,2,0,2,1,1,6,2,2
