Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM
"Brown Jr., Troy",SF,9.6,"$3,500",was,pho,away, 124-121,22:41,   2pt 3rb 2as 1st 2to 1-5fg 0-3ft,2,3,2,1,0,2,0
"McDermott, Doug",SF,8.9,"$3,500",ind,okc,away, 99-107,15:22,   5pt 2rb 1as 1trey 2-3fg,5,2,1,0,0,0,1
"Labissiere, Skal",PF,7.7,"$3,500",por,chi,away, 118-98,3:56,   2pt 1rb 3as 1-1fg,2,1,3,0,0,0,0
"Nader, Abdel",SF,6.9,"$3,500",okc,ind,home, 107-99,13:04,   3pt 2rb 1as 1trey 1-2fg,3,2,1,0,0,0,1
"Washburn, Julian",SF,6.3,"$3,500",mem,gsw,home, 103-118,7:20,   0pt 4rb 1as 0-4fg,0,4,1,0,0,0,0
"O'Neale, Royce",SF,5.9,"$3,700",uta,lal,home, 115-100,20:32,   4pt 2rb 1as 2to 2-4fg,4,2,1,0,0,2,0
"Morris, Markieff",PF,5.7,"$3,500",okc,ind,home, 107-99,7:00,   0pt 1rb 3as 0-2fg,0,1,3,0,0,0,0
"Rabb, Ivan",PF,5.2,"$3,600",mem,gsw,home, 103-118,15:17,   2pt 1rb 1bl 1to 1-4fg,2,1,0,0,1,1,0
"McKinnie, Alfonzo",SF,3.2,"$3,500",gsw,mem,away, 118-103,5:36,   2pt 1rb 1-2fg,2,1,0,0,0,0,0
"Niang, Georges",PF,2,"$3,500",uta,lal,home, 115-100,2:27,   2pt 1-2fg,2,0,0,0,0,0,0
"Leaf, TJ",PF,0,"$3,500",ind,okc,away, 99-107,DNP,   ,0,0,0,0,0,0,0
"Ariza, Trevor",SF,0,"$5,200",was,pho,away, 124-121,DNP,   ,0,0,0,0,0,0,0
"Hutchison, Chandler",SF,0,"$4,400",chi,por,home, 98-118,DNP,   ,0,0,0,0,0,0,0
"Carter Jr., Wendell",PF,0,"$3,500",chi,por,home, 98-118,DNP,   ,0,0,0,0,0,0,0
"Patterson, Patrick",PF,0,"$3,500",okc,ind,home, 107-99,DNP,   ,0,0,0,0,0,0,0
"Dekker, Sam",SF,0,"$3,500",was,pho,away, 124-121,DNP,   ,0,0,0,0,0,0,0
"Johnson, Wesley",SF,0,"$3,500",was,pho,away, 124-121,DNP,   ,0,0,0,0,0,0,0
"Watanabe, Yuta",SF,0,"$3,500",mem,gsw,home, 103-118,NA,   ,0,0,0,0,0,0,0
"Robinson, Devin",SF,0,"$3,500",was,pho,away, 124-121,NA,   ,0,0,0,0,0,0,0
"Oubre, Kelly",SF,0,"$6,900",pho,was,home, 121-124,NA,   ,0,0,0,0,0,0,0
"Anderson, Kyle",SF,0,"$5,100",mem,gsw,home, 103-118,NA,   ,0,0,0,0,0,0,0
"James, LeBron",SF,0,"$11,000",lal,uta,away, 100-115,NA,   ,0,0,0,0,0,0,0
"Ingram, Brandon",SF,0,"$3,500",lal,uta,away, 100-115,NA,   ,0,0,0,0,0,0,0
"Warren, T.J.",SF,0,"$5,000",pho,was,home, 121-124,NA,   ,0,0,0,0,0,0,0
"Porter, Otto",SF,0,"$6,700",chi,por,home, 98-118,NA,   ,0,0,0,0,0,0,0
"Miles, C.J.",SF,0,"$3,500",mem,gsw,home, 103-118,NA,   ,0,0,0,0,0,0,0
"King, George",SF,0,"$3,500",pho,was,home, 121-124,NA,   ,0,0,0,0,0,0,0
"Grantham, Donte",SF,0,"$3,500",okc,ind,home, 107-99,NA,   ,0,0,0,0,0,0,0
"Derrickson, Marcus",PF,0,"$3,500",gsw,mem,away, 118-103,NA,   ,0,0,0,0,0,0,0
"Markkanen, Lauri",PF,0,"$7,300",chi,por,home, 98-118,NA,   ,0,0,0,0,0,0,0
"Cavanaugh, Tyler",PF,0,"$3,500",uta,lal,home, 115-100,NA,   ,0,0,0,0,0,0,0
"Johnson, Alize",PF,0,"$3,500",ind,okc,away, 99-107,NA,   ,0,0,0,0,0,0,0
"Jackson, Josh",PF,0,"$5,400",pho,was,home, 121-124,NA,   ,0,0,0,0,0,0,0
"Jackson, Jaren",PF,0,"$5,700",mem,gsw,home, 103-118,NA,   ,0,0,0,0,0,0,0
