Name,Position,FDPoints,Salary,Team,Opp.,Score,Min,stats
"Turner, Evan",SF,15.4,"$3,500",por,@ chi, 118-98,22:17,   2pt 2rb 8as 1to 1-5fg
"Harkless, Maurice",SF,12.3,"$5,400",por,@ chi, 118-98,19:41,   4pt 4rb 1as 1st 1to 1-8fg 2-2ft
"Leonard, Meyers",PF,11.8,"$3,500",por,@ chi, 118-98,18:00,   4pt 4rb 2as 0-3fg 4-4ft
"Bonga, Isaac",SF,10.1,"$3,500",lal,@ uta, 100-115,10:39,   2pt 3rb 1as 1st 1-3fg
"Brown Jr., Troy",SF,9.6,"$3,500",was,@ pho, 124-121,22:41,   2pt 3rb 2as 1st 2to 1-5fg 0-3ft
"McDermott, Doug",SF,8.9,"$3,500",ind,@ okc, 99-107,15:22,   5pt 2rb 1as 1trey 2-3fg
"Labissiere, Skal",PF,7.7,"$3,500",por,@ chi, 118-98,3:56,   2pt 1rb 3as 1-1fg
"Nader, Abdel",SF,6.9,"$3,500",okc,v ind, 107-99,13:04,   3pt 2rb 1as 1trey 1-2fg
"Washburn, Julian",SF,6.3,"$3,500",mem,v gsw, 103-118,7:20,   0pt 4rb 1as 0-4fg
"O'Neale, Royce",SF,5.9,"$3,700",uta,v lal, 115-100,20:32,   4pt 2rb 1as 2to 2-4fg
"Morris, Markieff",PF,5.7,"$3,500",okc,v ind, 107-99,7:00,   0pt 1rb 3as 0-2fg
"Rabb, Ivan",PF,5.2,"$3,600",mem,v gsw, 103-118,15:17,   2pt 1rb 1bl 1to 1-4fg
"McKinnie, Alfonzo",SF,3.2,"$3,500",gsw,@ mem, 118-103,5:36,   2pt 1rb 1-2fg
"Niang, Georges",PF,2,"$3,500",uta,v lal, 115-100,2:27,   2pt 1-2fg
"Spalding, Ray",PF,1.4,"$3,500",pho,v was, 121-124,7:07,   0pt 2rb 1to
"Jerebko, Jonas",PF,0,"$3,500",gsw,@ mem, 118-103,1:00,   0pt
"Leaf, TJ",PF,0,"$3,500",ind,@ okc, 99-107,DNP,   
"Ariza, Trevor",SF,0,"$5,200",was,@ pho, 124-121,DNP,   
"Hutchison, Chandler",SF,0,"$4,400",chi,v por, 98-118,DNP,   
"Carter Jr., Wendell",PF,0,"$3,500",chi,v por, 98-118,DNP,   
"Patterson, Patrick",PF,0,"$3,500",okc,v ind, 107-99,DNP,   
"Dekker, Sam",SF,0,"$3,500",was,@ pho, 124-121,DNP,   
"Johnson, Wesley",SF,0,"$3,500",was,@ pho, 124-121,DNP,   
"Watanabe, Yuta",SF,0,"$3,500",mem,v gsw, 103-118,NA,   
"Robinson, Devin",SF,0,"$3,500",was,@ pho, 124-121,NA,   
"Oubre, Kelly",SF,0,"$6,900",pho,v was, 121-124,NA,   
"Anderson, Kyle",SF,0,"$5,100",mem,v gsw, 103-118,NA,   
"James, LeBron",SF,0,"$11,000",lal,@ uta, 100-115,NA,   
"Ingram, Brandon",SF,0,"$3,500",lal,@ uta, 100-115,NA,   
"Warren, T.J.",SF,0,"$5,000",pho,v was, 121-124,NA,   
"Porter, Otto",SF,0,"$6,700",chi,v por, 98-118,NA,   
"Miles, C.J.",SF,0,"$3,500",mem,v gsw, 103-118,NA,   
"King, George",SF,0,"$3,500",pho,v was, 121-124,NA,   
"Grantham, Donte",SF,0,"$3,500",okc,v ind, 107-99,NA,   
"Derrickson, Marcus",PF,0,"$3,500",gsw,@ mem, 118-103,NA,   
"Markkanen, Lauri",PF,0,"$7,300",chi,v por, 98-118,NA,   
"Cavanaugh, Tyler",PF,0,"$3,500",uta,v lal, 115-100,NA,   
"Johnson, Alize",PF,0,"$3,500",ind,@ okc, 99-107,NA,   
"Jackson, Josh",PF,0,"$5,400",pho,v was, 121-124,NA,   
"Jackson, Jaren",PF,0,"$5,700",mem,v gsw, 103-118,NA,   
"Adams, Steven",C,52.9,"$6,300",okc,v ind, 107-99,34:46,   25pt 12rb 3as 2st 1bl 11-14fg 3-6ft
"Cousins, DeMarcus",C,50.8,"$8,600",gsw,@ mem, 118-103,31:34,   16pt 9rb 6as 3st 3bl 3to 1trey 7-15fg 1-1ft
"Bryant, Thomas",C,50.3,"$6,700",was,@ pho, 124-121,39:31,   18pt 19rb 3as 1st 1bl 1to 2trey 7-16fg 2-6ft
"Gobert, Rudy",C,50.2,"$10,000",uta,v lal, 115-100,31:35,   22pt 11rb 2st 3bl 9-12fg 4-6ft
"Valanciunas, Jonas",C,48.6,"$8,400",mem,v gsw, 103-118,32:15,   27pt 13rb 2as 2bl 3to 12-25fg 3-5ft
"Turner, Myles",C,40.3,"$7,700",ind,@ okc, 99-107,31:29,   12pt 14rb 1as 4bl 2to 1trey 5-9fg 1-2ft
"McGee, JaVale",C,38.1,"$7,500",lal,@ uta, 100-115,30:19,   16pt 13rb 1as 2bl 1to 7-15fg 2-2ft
"Ayton, Deandre",C,31.5,"$8,300",pho,v was, 121-124,26:51,   14pt 10rb 1as 2bl 2to 6-13fg 2-3ft
"Lopez, Robin",C,30.8,"$5,200",chi,v por, 98-118,28:08,   15pt 9rb 4as 1to 7-14fg 1-1ft
"Felicio, Cristiano",C,27,"$3,600",chi,v por, 98-118,29:00,   15pt 5rb 2as 1st 4-6fg 7-8ft
"Wagner, Moritz",C,19.8,"$3,500",lal,@ uta, 100-115,20:27,   13pt 4rb 1bl 1to 1trey 4-9fg 4-4ft
"Kanter, Enes",C,19.7,"$6,500",por,@ chi, 118-98,21:51,   13pt 6rb 1as 2to 6-8fg 1-4ft
"Noel, Nerlens",C,9.4,"$3,500",okc,v ind, 107-99,13:14,   4pt 2rb 1bl 2-2fg 0-2ft
"Looney, Kevon",C,7.2,"$3,600",gsw,@ mem, 118-103,7:48,   4pt 1rb 1bl 1to 2-3fg
"Bogut, Andrew",C,3.9,"$3,700",gsw,@ mem, 118-103,6:34,   0pt 2rb 1as
"Udoh, Ekpe",C,1.2,"$3,500",uta,v lal, 115-100,3:12,   0pt 1rb
"Muscala, Mike",C,0,"$3,600",lal,@ uta, 100-115,DNP,   
"Mahinmi, Ian",C,0,"$3,500",was,@ pho, 124-121,DNP,   
"O'Quinn, Kyle",C,0,"$3,500",ind,@ okc, 99-107,DNP,   
"Noah, Joakim",C,0,"$4,800",mem,v gsw, 103-118,NA,   
"Chandler, Tyson",C,0,"$3,500",lal,@ uta, 100-115,NA,   
"Bell, Jordan",C,0,"$3,500",gsw,@ mem, 118-103,NA,   
"Jones, Damian",C,0,"$3,500",gsw,@ mem, 118-103,NA,   
"Nurkic, Jusuf",C,0,"$3,500",por,@ chi, 118-98,NA,   
"Bradley, Tony",C,0,"$3,500",uta,v lal, 115-100,NA,   
"Howard, Dwight",C,0,"$6,200",was,@ pho, 124-121,NA,   
