Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Hilario, Nene",5,4.1,3700,hou,min,away, 91-103,10:05,0,3,1,0,0,1,0,0,1,0,0
"Mahinmi, Ian",5,2.4,3500,was,nyk,away, 110-107,5:16,0,2,0,0,0,0,0,0,2,0,0
"Plumlee, Miles",5,1,3500,atl,gsw,home, 111-128,3:43,1,0,0,0,0,0,0,0,0,1,2
"Len, Alex",5,0,3800,atl,gsw,home, 111-128,3:39,0,0,0,0,0,0,0,0,0,0,0
"Marjanovic, Boban",5,0,4800,lac,nor,away, 129-126,DNP,0,0,0,0,0,0,0,0,0,0,0
"Okafor, Jahlil",5,0,3500,nor,lac,home, 126-129,DNP,0,0,0,0,0,0,0,0,0,0,0
"Monroe, Greg",5,0,3600,tor,den,home, 103-106,DNP,0,0,0,0,0,0,0,0,0,0,0
"Davis, Tyler",5,0,3500,okc,det,away, 110-83,NA,0,0,0,0,0,0,0,0,0,0,0
"Welsh, Thomas",5,0,3500,den,tor,away, 106-103,NA,0,0,0,0,0,0,0,0,0,0,0
"Jones, Damian",5,0,3900,gsw,atl,away, 128-111,NA,0,0,0,0,0,0,0,0,0,0,0
"Cousins, DeMarcus",5,0,3500,gsw,atl,away, 128-111,NA,0,0,0,0,0,0,0,0,0,0,0
"Delgado, Angel",5,0,3500,lac,nor,away, 129-126,NA,0,0,0,0,0,0,0,0,0,0,0
"Howard, Dwight",5,0,6200,was,nyk,away, 110-107,NA,0,0,0,0,0,0,0,0,0,0,0
