Name,Position,FDPoints,Salary,Team,Opp.,Home/Away,Score,Min,stats,Pts,Rbs,Ast,Stl,Blk,To,3PM,FGM,FGA,FTM,FTA
"Bridges, Miles",SF,21.1,"$5,400",cha,ind,home, 122-120,43:16,   18pt 3rb 1as 2to 2trey 8-10fg 0-3ft,18,3,1,0,0,2,2,8,10,0,3
"Young, Thaddeus",PF,20.1,"$5,000",chi,lal,home, 112-118,16:36,   8pt 3rb 1as 2st 1bl 2to 4-6fg 0-2ft,8,3,1,2,1,2,0,4,6,0,2
"Nance, Larry",SF,20.1,"$5,000",cle,bos,home, 113-119,15:09,   15pt 3rb 1as 3trey 5-6fg 2-2ft,15,3,1,0,0,0,3,5,6,2,2
"Kuzma, Kyle",PF,19.8,"$4,000",lal,chi,away, 118-112,21:08,   15pt 4rb 1bl 3to 1trey 7-16fg 0-1ft,15,4,0,0,1,3,1,7,16,0,1
"Millsap, Paul",PF,19.5,"$5,400",den,mia,home, 109-89,16:36,   10pt 5rb 3as 1to 1trey 3-5fg 3-3ft,10,5,3,0,0,1,1,3,5,3,3
"Gay, Rudy",SF,19.2,"$4,900",sas,atl,away, 100-108,26:04,   8pt 6rb 2as 1st 2to 3-10fg 2-2ft,8,6,2,1,0,2,0,3,10,2,2
"Winslow, Justise",SF,16.7,"$6,400",mia,den,away, 89-109,30:21,   10pt 6rb 1as 2to 5-11fg,10,6,1,0,0,2,0,5,11,0,0
"Sampson, JaKarr",SF,16.3,"$3,500",ind,cha,away, 120-122,20:24,   7pt 4rb 1as 1bl 1trey 3-5fg,7,4,1,0,1,0,1,3,5,0,0
"Reddish, Cam",SF,16.1,"$4,200",atl,sas,home, 108-100,28:42,   12pt 3rb 1as 1to 3trey 4-6fg 1-2ft,12,3,1,0,0,1,3,4,6,1,2
"Jones, Derrick",SF,15.2,"$3,500",mia,den,away, 89-109,16:51,   8pt 1rb 2st 4-8fg,8,1,0,2,0,0,0,4,8,0,0
"Noel, Nerlens",PF,15,"$5,600",okc,orl,home, 102-94,16:05,   5pt 5rb 2as 1bl 2to 1-2fg 3-4ft,5,5,2,0,1,2,0,1,2,3,4
"Markkanen, Lauri",PF,13.1,"$7,300",chi,lal,home, 112-118,30:19,   7pt 3rb 1as 1st 2to 2trey 2-8fg 1-2ft,7,3,1,1,0,2,2,2,8,1,2
"Carter, Vince",SF,12.4,"$3,500",atl,sas,home, 108-100,16:07,   7pt 2rb 1st 3-7fg 1-1ft,7,2,0,1,0,0,0,3,7,1,1
"Williams, Marvin",PF,10.9,"$3,600",cha,ind,home, 122-120,16:38,   5pt 2rb 1as 1bl 1to 1trey 2-4fg,5,2,1,0,1,1,1,2,4,0,0
"Holiday, Justin",SF,10.9,"$3,800",ind,cha,away, 120-122,24:05,   5pt 2rb 3as 1to 1trey 2-6fg,5,2,3,0,0,1,1,2,6,0,0
"Kornet, Luke",PF,10.4,"$3,500",chi,lal,home, 112-118,16:43,   3pt 2rb 2bl 1to 1trey 1-5fg,3,2,0,0,2,1,1,1,5,0,0
"Johnson, James",PF,10.2,"$4,600",mia,den,away, 89-109,6:14,   0pt 1rb 3st,0,1,0,3,0,0,0,0,0,0,0
"Silva, Chris",PF,10.1,"$3,500",mia,den,away, 89-109,6:14,   2pt 3rb 1as 1bl 1-2fg,2,3,1,0,1,0,0,1,2,0,0
"McDermott, Doug",SF,9.9,"$3,500",ind,cha,away, 120-122,19:05,   8pt 2rb 1as 2to 2trey 3-7fg,8,2,1,0,0,2,2,3,7,0,0
"Hutchison, Chandler",SF,7.6,"$3,500",chi,lal,home, 112-118,14:49,   5pt 3rb 1to 1trey 2-2fg 0-3ft,5,3,0,0,0,1,1,2,2,0,3
"Leaf, TJ",PF,7.1,"$3,900",ind,cha,away, 120-122,14:28,   0pt 3rb 1as 1st 1to 0-1fg,0,3,1,1,0,1,0,0,1,0,0
"Fernando, Bruno",PF,6.9,"$3,700",atl,sas,home, 108-100,14:49,   4pt 2rb 1as 1to 2-4fg,4,2,1,0,0,1,0,2,4,0,0
"Porter, Michael",PF,5.2,"$3,700",den,mia,home, 109-89,3:13,   4pt 1rb 2-2fg,4,1,0,0,0,0,0,2,2,0,0
"McKinnie, Alfonzo",SF,4.4,"$3,500",cle,bos,home, 113-119,9:13,   3pt 2rb 1to 1trey 1-1fg,3,2,0,0,0,1,1,1,1,0,0
"Hernangomez, Juan",SF,1.2,"$3,500",den,mia,home, 109-89,1:45,   0pt 1rb 0-1fg,0,1,0,0,0,0,0,0,1,0,0
"Ojeleye, Semi",SF,1.2,"$3,500",bos,cle,away, 119-113,7:43,   0pt 1rb,0,1,0,0,0,0,0,0,0,0,0
"Williams, Grant",PF,1.2,"$3,500",bos,cle,away, 119-113,10:54,   0pt 1rb 0-2fg,0,1,0,0,0,0,0,0,2,0,0
"Muscala, Mike",PF,0,"$3,500",okc,orl,home, 102-94,4:06,   0pt 0-1fg,0,0,0,0,0,0,0,0,1,0,0
